age,salary,experience,education_level,target
56,56680,7,2,0
46,103452,36,2,1
32,71044,4,0,0
60,116775,6,2,1
25,64084,21,1,0
38,54189,35,2,1
56,33510,1,1,0
36,110502,23,0,1
40,42152,1,0,0
28,104738,11,2,0
28,46445,25,2,0
41,96688,37,0,1
53,91153,5,0,0
57,21195,22,0,0
41,124533,1,1,0
20,79949,25,1,0
39,45433,13,2,0
19,25305,17,1,0
41,146107,37,0,1
61,78860,31,2,1
47,93613,13,1,0
55,68648,29,2,1
19,83090,12,1,0
38,116921,39,2,1
50,62113,30,0,1
29,135530,36,0,1
39,123504,37,0,1
61,140609,21,1,1
42,62642,27,2,1
44,53062,18,2,0
59,91633,15,2,1
45,124716,4,1,0
33,61604,1,0,0
32,130129,9,0,0
64,26678,18,2,1
61,52121,19,2,1
20,68503,28,1,0
54,145015,24,2,1
24,106940,16,2,0
38,91279,12,1,0
26,36494,15,2,0
56,127079,34,0,1
35,64185,35,1,1
21,29678,38,0,0
42,57632,2,2,0
31,66235,8,2,0
26,21648,39,1,0
43,101213,28,1,1
19,134222,4,1,0
37,108301,2,1,0
45,87917,9,2,0
64,36489,30,2,1
24,97281,10,0,0
61,25818,16,0,0
25,128190,39,1,1
64,144613,7,2,1
52,53149,1,1,0
31,47312,3,1,0
34,57124,15,1,0
53,124222,20,1,1
57,21316,4,1,0
21,90990,34,2,1
19,80046,13,0,0
23,98643,14,1,0
59,89610,5,2,1
21,106724,15,1,0
46,133115,22,2,1
35,117504,30,0,1
43,135594,11,0,0
61,84042,18,2,1
51,125925,11,1,1
27,135350,12,0,0
53,148295,1,1,1
31,43102,19,1,0
48,149665,30,2,1
32,134430,8,1,0
25,126958,20,2,1
31,145782,7,2,0
40,51957,38,2,1
57,32872,36,0,1
38,70094,28,1,1
33,67719,18,2,0
62,93885,34,2,1
35,141103,37,1,1
64,148826,25,0,1
41,39693,10,2,0
43,70478,35,2,1
42,118163,34,2,1
62,63677,3,2,0
58,80012,2,1,0
46,30760,11,2,0
32,31584,31,0,0
62,22106,25,1,1
18,33669,12,0,0
42,139487,37,1,1
24,45223,28,1,0
26,80666,18,1,0
41,55706,34,0,1
18,88019,26,0,0
